Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
"Pinpoint Action, LLC","Kelly, Mackenzie",1800.00,08/26/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Consulting Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00009,,,,,
Fed Ex Office,"Kelly, Mackenzie",160.10,09/08/2020,ENTITY,"13729 N Highway 183, Ste 820","Austin, TX, 78750",2020,Political Expenditure From Personal Funds,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,PRINTING | Campaign printing Expense,,,Y,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00008,,,,,
"Anedot, Inc.","Kelly, Mackenzie",1036.39,09/24/2020,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,"FEES | Online contribution processing fees July 1, 2020 thru September 24, 2020",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00011,,,,,
City of Austin,"Kelly, Mackenzie",500.00,08/11/2020,ENTITY,301 W 2nd St,"Austin, TX, 78701",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,FEES | Ballot application fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00010,,,,,
"Henry, Thomas J.","Kelly, Mackenzie",1200.00,09/11/2020,INDIVIDUAL,12605 Grimes Ranch Court,"Austin, TX, 78732",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Consulting Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00006,,,,,
"Anedot, Inc.","Kelly, Mackenzie",656.76,06/30/2020,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2020,Political Expenditure From Political Contributions,07/14/2020,COH: Candidate /Officeholder Campaign Finance Report,"FEES | Online contribution processing fees May 14 through June 30, 2020",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=343225),R20200506100710624-F00001,,,,,
"Potomac Strategy Group, LLC","The Real Estate Council of Austin, Inc. Advancing Democracy PAC",13500.00,10/22/2018,Entity,"807 Brazos St., Suite 810","Austin, TX, 78701",2018,Political Expenditure from Political Contributions,11/05/2018,: Monthly Filing General-Purpose Committee Campaign Finance Report,Consulting Expense | Communications Consulting,,Yes,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=310121),R20181108082305-F0002,,,,,
"Thomas Graphics, Inc.",Travis County GOP,5250.83,12/07/2016,Entity,PO Box 142226,"Austin, TX, 78714",2016,Pre-Election Report of Expenditure,12/08/2016,: Pre-Election Report - Political Committees,Printing Expense,,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=268085),R20161209162906-F0002,,,,,
Left Hand Design,Travis County GOP,1623.75,12/07/2016,Entity,7233 Manchaca Rd #37,"Austin, TX, 78745",2016,Pre-Election Report of Expenditure,12/08/2016,: Pre-Election Report - Political Committees,Other | Design Services,,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=268085),R20161209162906-F0004,,,,,
"Thomas Graphics, Inc.",Travis County GOP,3962.94,12/07/2016,Entity,PO Box 142226,"Austin, TX, 78714-2226",2016,Pre-Election Report of Expenditure,12/08/2016,: Pre-Election Report - Political Committees,Printing Expense,,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=268085),R20161209162906-F0001,,,,,
Time & Space Media,Travis County GOP,2500.00,12/07/2016,Entity,"5 Revere Dr, Ste 200","Northbrook, IL, 60062",2016,Pre-Election Report of Expenditure,12/08/2016,: Pre-Election Report - Political Committees,Advertising Expense,,,,,View Report (https://services.austintexas.gov/edims/document.cfm?id=268085),R20161209162906-F0003,,,,,
